,GEOCODIGO,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,URBANO,DISTRITO,LOC_ZON,SHAPE_Leng,SHAPE_Area,area_m2,area_km2,lon,lat,Cantidad_Shops,Vel_promedio,demanda1,customer1,demanda2,customer2,demanda3,customer3,demanda4,customer4,demanda5,customer5
18,13101031006,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,3,6,0.01040994156,4.64435e-06,47917.4009761578,0.0479174009761578,-70.6582243644732,-33.4420915205886,0,21.296278821792,203,75,189,54,148,90,250,53,130,63
19,13101031007,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,3,7,0.01491470028,1.27821e-05,131874.389306015,0.131874389306015,-70.6583069070223,-33.4440753512801,0,22.5379588833224,121,67,121,55,126,82,117,71,145,55
20,13101041001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,4,1,0.01666089488,1.577355e-05,162745.329608702,0.162745329608702,-70.6665984657187,-33.4399211460262,1,16.2429349955969,282,57,290,63,158,81,123,56,165,52
21,13101041002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,4,2,0.01621407545,1.392455e-05,143659.85564574,0.14365985564574,-70.6663424519711,-33.444839744933,2,15.6269431020715,111,63,132,56,270,136,126,82,124,64
22,13101041003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,4,3,0.01416425312,9.9492e-06,102652.125998542,0.102652125998542,-70.6636947992933,-33.4397223865402,1,14.9390324720822,240,58,100,55,123,74,130,51,215,52
23,13101041004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,4,4,0.01649783964,1.254568e-05,129441.718460022,0.129441718460022,-70.6613037553268,-33.4397033164552,0,23.6688309550205,129,56,156,63,205,54,207,53,149,56
24,13101041005,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,4,5,0.01856699672,2.012248e-05,207605.855800312,0.207605855800312,-70.662747766761,-33.4440824056057,1,24.7834477074517,102,69,128,73,103,71,115,91,203,68
25,13101051001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,5,1,0.01777720659,1.716363e-05,177073.176784635,0.177073176784635,-70.6706310769619,-33.4469588469596,1,20.5939994020524,103,71,107,95,125,53,165,55,139,83
26,13101051002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,5,2,0.02459251773,3.677307e-05,379379.610263839,0.379379610263839,-70.6764842871818,-33.4468851569366,8,15.8709286729723,158,87,102,108,121,51,136,77,148,72
27,13101051003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,5,3,0.01728724186,1.52866e-05,157713.281095927,0.157713281095927,-70.6707963998837,-33.4442391506133,2,17.4538992665631,100,62,136,62,103,59,152,66,108,79
28,13101061001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,6,1,0.01719870037,1.616033e-05,166737.243459915,0.166737243459915,-70.6714547617747,-33.4392388149107,2,16.1263769804794,158,57,165,72,251,98,119,69,157,67
29,13101061002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,6,2,0.02234370534,2.518456e-05,259842.209815931,0.259842209815931,-70.67745402963,-33.4406630444898,4,15.122060052894,124,55,106,126,146,53,125,55,120,50
30,13101061003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,6,3,0.02141435954,2.006286e-05,206995.907761027,0.206995907761027,-70.6723227655045,-33.4419556260724,1,17.74235777706,111,51,127,101,106,125,173,84,188,94
31,13101071001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,7,1,0.01891383955,2.208088e-05,227847.697117444,0.227847697117444,-70.6785349696855,-33.4300859253519,2,22.9595124228657,271,60,117,101,102,93,112,51,186,59
32,13101071002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,7,2,0.02021892982,2.112789e-05,218002.308268307,0.218002308268307,-70.677906804566,-33.4347252168153,11,17.6520223290328,107,52,121,53,105,79,101,94,210,77
33,13101071003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,7,3,0.01714763783,1.021899e-05,105438.969030261,0.105438969030261,-70.6766565512923,-33.4370750379058,2,17.1764229218063,202,64,126,59,129,60,182,82,142,56
34,13101081001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,8,1,0.01756876434,1.415524e-05,146065.550886679,0.146065550886678,-70.6753800243213,-33.4296233395644,1,24.6075715859767,122,76,313,56,276,60,145,65,165,64
35,13101081002,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,8,2,0.0210378024,2.710843e-05,279708.273248426,0.279708273248426,-70.671742825605,-33.4355267529692,9,16.5132757708386,244,55,244,66,121,54,221,81,110,142
36,13101081003,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,8,3,0.01771233617,1.250399e-05,129025.474806435,0.129025474806435,-70.6709235345692,-33.4304049888803,0,23.7203567740261,116,56,152,63,224,87,205,66,116,56
37,13101081004,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,8,4,0.01537888963,1.127098e-05,116300.922751109,0.116300922751109,-70.6729708080182,-33.4314374229772,0,21.4632463466675,184,54,188,87,178,86,177,55,130,50
38,13101091001,13,REGIÓN METROPOLITANA DE SANTIAGO,131,SANTIAGO,13101,SANTIAGO,SANTIAGO,9,1,0.03297078753,4.332428e-05,447053.767033193,0.447053767033193,-70.6659193636293,-33.4300434197498,2,43.0943983767068,134,62,133,78,190,54,139,55,132,64
